period start,symbol,price,change %,min,max,30d avg
2020-12-20T00:00:00+00:00,PWR,$98.54,44.15%,$68.08,$121.91,$107.93                                  
2020-12-20T00:00:00+00:00,KSS,$60.17,59.50%,$37.52,$63.71,$50.55                                    
2020-12-20T00:00:00+00:00,NWS,$21.76,25.36%,$17.35,$25.83,$22.30                                    
2020-12-20T00:00:00+00:00,MPC,$71.80,87.97%,$38.12,$74.74,$68.00                                    
2020-12-20T00:00:00+00:00,CARR,$46.44,22.22%,$35.15,$58.02,$51.44                                   
2020-12-20T00:00:00+00:00,PAYC,$317.26,-28.80%,$302.06,$553.23,$371.95                              
2020-12-20T00:00:00+00:00,KHC,$36.05,8.71%,$30.69,$43.14,$36.37                                     
2020-12-20T00:00:00+00:00,KMI,$17.20,31.18%,$12.71,$18.56,$16.67                                    
2020-12-20T00:00:00+00:00,NEE,$72.49,-0.65%,$69.70,$93.36,$86.57                                    
2020-12-20T00:00:00+00:00,LW,$64.00,-16.25%,$50.24,$84.89,$64.10                                    
2020-12-20T00:00:00+00:00,DIS,$138.65,-18.77%,$133.60,$201.91,$150.68                               
2020-12-20T00:00:00+00:00,NKE,$145.92,2.08%,$126.42,$177.19,$156.69                                 
2020-12-20T00:00:00+00:00,MAS,$62.61,13.82%,$52.17,$70.23,$67.19                                    
2020-12-20T00:00:00+00:00,FRT,$125.44,53.24%,$79.39,$139.37,$131.03                                 
2020-12-20T00:00:00+00:00,RF,$23.10,53.25%,$14.97,$25.41,$22.97                                     
2020-12-20T00:00:00+00:00,VLO,$81.40,59.09%,$50.84,$85.64,$77.54                                    
2020-12-20T00:00:00+00:00,FCX,$36.03,46.35%,$24.01,$45.00,$41.02                                    
2020-12-20T00:00:00+00:00,IPGP,$144.34,-33.28%,$144.01,$258.58,$163.19                              
2020-12-20T00:00:00+00:00,FB,$301.71,10.60%,$245.64,$382.18,$327.73                                 
2020-12-20T00:00:00+00:00,CSCO,$55.61,28.29%,$42.80,$63.59,$60.41                                   
2020-12-20T00:00:00+00:00,FANG,$128.72,191.92%,$43.14,$129.21,$116.14                               
2020-12-20T00:00:00+00:00,MCO,$336.43,21.54%,$261.09,$406.04,$371.91                                
2020-12-20T00:00:00+00:00,UA,$15.58,3.25%,$14.65,$22.63,$16.98                                      
2020-12-20T00:00:00+00:00,NDAQ,$174.66,38.05%,$126.42,$212.25,$193.81                               
2020-12-20T00:00:00+00:00,FDX,$244.82,-8.98%,$217.20,$312.96,$253.07                                
2020-12-20T00:00:00+00:00,LMT,$393.24,15.97%,$312.37,$393.24,$361.11                                
2020-12-20T00:00:00+00:00,TXT,$66.69,41.70%,$45.20,$78.25,$75.13                                    
2020-12-20T00:00:00+00:00,MO,$50.49,28.90%,$37.91,$50.81,$48.64                                     
2020-12-20T00:00:00+00:00,LEG,$38.62,-2.35%,$38.00,$56.41,$40.50                                    
2020-12-20T00:00:00+00:00,OMC,$74.63,27.89%,$57.63,$82.64,$75.04                                    
2020-12-20T00:00:00+00:00,JNJ,$171.74,15.06%,$148.20,$177.25,$169.47                                
2020-12-20T00:00:00+00:00,CTXS,$105.55,-18.35%,$78.35,$142.45,$96.47                                
2020-12-20T00:00:00+00:00,MAA,$204.79,69.54%,$118.91,$228.29,$216.31                                
2020-12-20T00:00:00+00:00,TFC,$62.59,39.47%,$44.60,$67.41,$61.59                                    
2020-12-20T00:00:00+00:00,LIN,$314.88,25.70%,$239.41,$346.43,$333.01                                
2020-12-20T00:00:00+00:00,OKE,$59.30,61.92%,$34.87,$64.93,$59.80                                    
2020-12-20T00:00:00+00:00,LVS,$43.11,-24.21%,$33.98,$66.20,$39.26                                   
2020-12-20T00:00:00+00:00,SHW,$287.78,19.34%,$218.66,$352.16,$325.55                                
2020-12-20T00:00:00+00:00,PSA,$360.44,61.90%,$208.14,$374.56,$362.21                                
2020-12-20T00:00:00+00:00,DXCM,$413.39,18.50%,$323.96,$651.26,$492.37                               
2020-12-20T00:00:00+00:00,TRV,$166.82,23.49%,$131.55,$168.83,$160.80                                
2020-12-20T00:00:00+00:00,WM,$147.86,28.97%,$108.16,$166.90,$159.19                                 
2020-12-20T00:00:00+00:00,SO,$69.00,19.84%,$55.00,$69.00,$67.75                                     
2020-12-20T00:00:00+00:00,TSN,$91.33,46.44%,$61.03,$93.76,$88.95                                    
2020-12-20T00:00:00+00:00,DOW,$60.04,13.93%,$49.66,$69.01,$57.23                                    
2020-12-20T00:00:00+00:00,LYV,$105.30,45.89%,$66.45,$123.80,$113.77                                 
2020-12-20T00:00:00+00:00,PG,$160.58,20.35%,$119.23,$163.33,$160.08                                 
2020-12-20T00:00:00+00:00,LLY,$245.11,47.43%,$161.87,$279.04,$260.26                                
2020-12-20T00:00:00+00:00,SEE,$67.87,51.92%,$41.33,$68.64,$66.46                                    
2020-12-20T00:00:00+00:00,GE,$92.08,7.21%,$83.50,$114.52,$96.42                                     
